,patient,dimension,spacing,maximum,minimum,std,x,y,z,x_sp,y_sp,z_sp
189,190,"(180, 224, 14)","(1.5625, 1.5625, 5.0)",227.0,11.0,36.037033,180,224,14,1.5625,1.5625,5.0
190,191,"(174, 208, 18)","(1.6826900243759155, 1.6826900243759155, 5.0)",255.0,29.0,29.177586,174,208,18,1.6826900243759155,1.6826900243759155,5.0
191,192,"(174, 208, 18)","(1.6826900243759155, 1.6826900243759155, 5.0)",255.0,29.0,29.10822,174,208,18,1.6826900243759155,1.6826900243759155,5.0
192,193,"(216, 256, 8)","(1.4843800067901611, 1.4843800067901611, 10.0)",255.0,25.0,28.444515,216,256,8,1.4843800067901611,1.4843800067901611,10.0
193,194,"(216, 256, 8)","(1.4843800067901611, 1.4843800067901611, 10.0)",255.0,25.0,28.14402,216,256,8,1.4843800067901611,1.4843800067901611,10.0
194,195,"(216, 256, 7)","(1.25, 1.25, 10.0)",255.0,22.0,29.56994,216,256,7,1.25,1.25,10.0
195,196,"(216, 256, 7)","(1.25, 1.25, 10.0)",255.0,22.0,29.292505,216,256,7,1.25,1.25,10.0
196,197,"(154, 224, 16)","(1.7857099771499634, 1.7857099771499634, 5.0)",255.0,7.0,45.8576,154,224,16,1.7857099771499634,1.7857099771499634,5.0
197,198,"(154, 224, 16)","(1.7857099771499634, 1.7857099771499634, 5.0)",255.0,8.0,45.78488,154,224,16,1.7857099771499634,1.7857099771499634,5.0
198,199,"(216, 304, 8)","(1.315790057182312, 1.315790057182312, 10.0)",255.0,6.0,45.80927,216,304,8,1.315790057182312,1.315790057182312,10.0
199,200,"(216, 304, 8)","(1.315790057182312, 1.315790057182312, 10.0)",255.0,6.0,45.285854,216,304,8,1.315790057182312,1.315790057182312,10.0
